"Var1"	"Freq"
"236"	"BAD"	6
"237"	"CALM3"	6
"238"	"CAMP"	6
"239"	"CCL17"	6
"240"	"CCL3"	6
"241"	"CEBPA"	6
"242"	"CIP2A"	6
"243"	"CX3CL1"	6
"244"	"CXCL13"	6
"245"	"CYP2A6"	6
"246"	"DECR1"	6
"247"	"DTNB"	6
"248"	"E2F5"	6
"249"	"ENPP2"	6
"250"	"ERAL1"	6
"251"	"FPR1"	6
"252"	"FUT1"	6
"253"	"GDE1"	6
"254"	"GEN1"	6
"255"	"GTPBP1"	6
"256"	"HMGN1"	6
"257"	"HOXD13"	6
"258"	"HRK"	6
"259"	"ITGB4"	6
"260"	"ITLN1"	6
"261"	"ITPR3"	6
"262"	"IVL"	6
"263"	"KCNMB1"	6
"264"	"KRT8"	6
"265"	"LEPR"	6
"266"	"LRP6"	6
"267"	"LTA"	6
"268"	"MATK"	6
"269"	"MYT1"	6
"270"	"NEURL1"	6
"271"	"NME1"	6
"272"	"NOLC1"	6
"273"	"NR2F1"	6
"274"	"PDCD1"	6
"275"	"POLB"	6
"276"	"PPARGC1A"	6
"277"	"PRKCQ"	6
"278"	"PRLR"	6
"279"	"PTPN22"	6
"280"	"RARRES1"	6
"281"	"RPTOR"	6
"282"	"SDC1"	6
"283"	"SLC25A16"	6
"284"	"SLC5A5"	6
"285"	"SREBF1"	6
"286"	"STAT2"	6
"287"	"TIMP3"	6
"288"	"TMPRSS2"	6
"289"	"TNC"	6
"290"	"TNFRSF11A"	6
"291"	"TNFSF14"	6
"292"	"ZFP36"	6
"293"	"ACTR1B"	5
"294"	"ACTR2"	5
"295"	"ADAMTS4"	5
"296"	"ADCYAP1R1"	5
"297"	"ADGRE5"	5
"298"	"ALDH1A3"	5
"299"	"ALDH3A1"	5
"300"	"ALDH7A1"	5
"301"	"ANO1"	5
"302"	"ASGR1"	5
"303"	"ASGR2"	5
"304"	"ATP7A"	5
"305"	"ATP8A2"	5
"306"	"CA12"	5
"307"	"CAMKK2"	5
"308"	"CCNH"	5
"309"	"CD1D"	5
"310"	"CD40LG"	5
"311"	"CES2"	5
"312"	"CHKA"	5
"313"	"CHMP2A"	5
"314"	"CHUK"	5
"315"	"CISH"	5
"316"	"CXCR1"	5
"317"	"CXCR2"	5
"318"	"CYP2A13"	5
"319"	"CYP4V2"	5
"320"	"DLK1"	5
"321"	"DYNC1H1"	5
"322"	"EFNB2"	5
"323"	"EIF4G1"	5
"324"	"ETS1"	5
"325"	"FABP5"	5
"326"	"FOS"	5
"327"	"FOSL2"	5
"328"	"GADD45B"	5
"329"	"GPR101"	5
"330"	"GPRC6A"	5
"331"	"GTF2B"	5
"332"	"HM13"	5
"333"	"HMBS"	5
"334"	"HNRNPA2B1"	5
"335"	"ID2"	5
"336"	"IFNAR1"	5
"337"	"IFNAR2"	5
"338"	"IGFBP2"	5
"339"	"IKBKE"	5
"340"	"ITGAV"	5
"341"	"ITGB3"	5
"342"	"JUN"	5
"343"	"KAT8"	5
"344"	"KCNMB2"	5
"345"	"KCNN3"	5
"346"	"KCNN4"	5
"347"	"KIF20A"	5
"348"	"KRT20"	5
"349"	"LMLN"	5
"350"	"LMOD1"	5
"351"	"LTBR"	5
"352"	"MAPK13"	5
"353"	"MAPK6"	5
"354"	"MBL2"	5
"355"	"MBP"	5
"356"	"MBTPS1"	5
"357"	"MLIP"	5
"358"	"MPP2"	5
"359"	"MT-CO3"	5
"360"	"MXD1"	5
"361"	"NCOA1"	5
"362"	"NCOA3"	5
"363"	"NEU3"	5
"364"	"NFE2"	5
"365"	"NLRP2"	5
"366"	"NME2"	5
"367"	"NOTCH2"	5
"368"	"NT5C3A"	5
"369"	"ONECUT2"	5
"370"	"PEPD"	5
"371"	"PGK1"	5
"372"	"PITX2"	5
"373"	"PLA2G10"	5
"374"	"PLD1"	5
"375"	"PPP1R1A"	5
"376"	"PPP1R3A"	5
"377"	"PRB3"	5
"378"	"PRKCZ"	5
"379"	"PTP4A2"	5
"380"	"RARG"	5
"381"	"RGS10"	5
"382"	"RGS14"	5
"383"	"RGS4"	5
"384"	"S100A10"	5
"385"	"SAT1"	5
"386"	"SBF1"	5
"387"	"SERPINB3"	5
"388"	"SERPINF2"	5
"389"	"SGK1"	5
"390"	"SLC22A5"	5
"391"	"SLC25A5"	5
"392"	"SLC26A4"	5
"393"	"SMR3B"	5
"394"	"SPHK2"	5
"395"	"SPTAN1"	5
"396"	"STIM1"	5
"397"	"SULT1A3"	5
"398"	"SUZ12"	5
"399"	"TCF7L2"	5
"400"	"TENM1"	5
"401"	"TKT"	5
"402"	"TNFRSF10D"	5
"403"	"TRAF1"	5
"404"	"TRIB3"	5
"405"	"TRPC1"	5
"406"	"TSPAN16"	5
"407"	"TXNRD2"	5
"408"	"TYRO3"	5
"409"	"TYRP1"	5
"410"	"UBASH3B"	5
"411"	"ZEB2"	5
"412"	"ABL2"	4
"413"	"ACCS"	4
"414"	"ACLY"	4
"415"	"ACSBG1"	4
"416"	"ADCY2"	4
"417"	"ADCY5"	4
"418"	"ADGRL1"	4
"419"	"ADORA2A"	4
"420"	"ADRA1D"	4
"421"	"AKT1S1"	4
"422"	"AP2M1"	4
"423"	"AQP3"	4
"424"	"ARID1A"	4
"425"	"ASCL1"	4
"426"	"AVP"	4
"427"	"B3GAT2"	4
"428"	"BAG1"	4
"429"	"BAP1"	4
"430"	"BARD1"	4
"431"	"BIRC7"	4
"432"	"BMP4"	4
"433"	"BRD4"	4
"434"	"BRIX1"	4
"435"	"BTRC"	4
"436"	"CACNA1G"	4
"437"	"CARD16"	4
"438"	"CCL27"	4
"439"	"CCR3"	4
"440"	"CD47"	4
"441"	"CDA"	4
"442"	"CDC37"	4
"443"	"CDT1"	4
"444"	"CENPF"	4
"445"	"CFL1"	4
"446"	"CHP1"	4
"447"	"CLDN1"	4
"448"	"CMPK2"	4
"449"	"CRMP1"	4
"450"	"CSNK2A1"	4
"451"	"CTNNBIP1"	4
"452"	"CUL3"	4
"453"	"CYLD"	4
"454"	"CYP17A1"	4
"455"	"CYP3A5"	4
"456"	"DEPP1"	4
"457"	"DHDH"	4
"458"	"DHPS"	4
"459"	"DLC1"	4
"460"	"DRAM1"	4
"461"	"DUSP10"	4
"462"	"EDNRA"	4
"463"	"EEF1A1"	4
